systemSku,Inventory
210000006059,0
210000006108,0
210000006128,2
210000006129,0
210000006130,1
210000006139,0
210000006144,0
210000006146,1
210000006324,4
210000006325,3
210000006326,2
210000006328,1
210000006329,2
210000006330,2
210000006331,3
210000006332,0
210000006333,2
210000006334,4
210000006336,3
210000006338,3
210000006339,4
210000006340,6
210000006341,3
210000006342,1
210000006343,2
210000006344,5
210000006345,6
210000006346,5
210000006347,1
210000006450,2
210000006453,0
210000006454,2
210000006455,2
210000006456,1
210000006457,0
210000006458,0
210000006459,2
210000006460,0
210000006461,0
210000006462,0
210000006573,0
210000006574,1
210000006668,0
210000006676,0
210000006765,0
210000006766,0
210000006767,0
210000006768,0
210000006771,0
210000006772,0
210000006777,0
210000006778,0
210000006784,31
210000006787,0
210000006788,5
210000006793,16
210000006797,0
210000006800,11
210000006804,15
210000006805,8
210000006815,9
210000006816,15
210000006817,9
210000006818,19
210000006819,11
210000006820,2
210000009270,9
210000009271,11
210000009272,4
210000009273,15
210000009274,5
210000009275,0
210000009276,3
210000009277,5
210000009278,3
210000009279,6
210000009280,7
210000009281,0
210000009282,1
210000009283,6
210000009284,0
210000009285,5
210000009286,3
210000009287,1
210000009288,4
210000009289,7
210000009290,1
210000009291,2
210000009292,4
210000009293,1
210000009294,0
210000009295,7
210000009296,2
210000009297,1
210000009298,2
210000009299,0
210000009300,0
210000009301,3
210000009302,0
210000009303,2
210000009304,0
210000009305,1
210000009306,4
210000009307,4
210000009308,3
210000009309,1
210000009310,4
210000009311,0
210000009312,1
210000009313,3
210000009314,0
210000009315,1
210000009316,2
210000009317,0
210000009318,1
210000009319,4
210000009320,2
210000009321,1
210000009322,0
210000009323,1
210000009324,3
210000009325,2
210000009326,0
210000009327,0
210000009328,4
210000009329,0
210000009330,0
210000009331,3
210000009332,2
210000009333,2
210000009334,0
210000009335,0
210000009336,0
210000009337,1
210000009338,0
210000009339,1
210000009340,1
210000009341,1
210000009342,0
210000009343,4
210000009344,0
210000009345,1
210000009346,2
210000009347,0
210000009348,0
210000009349,0
210000009350,6
210000009351,3
210000009352,6
210000009353,0
210000009354,3
210000009355,4
210000009356,0
210000009357,3
210000009358,2
210000009359,0
210000009360,11
210000009361,20
210000009362,4
210000009363,10
210000009364,26
210000009365,4
210000009366,3
210000009367,6
210000009368,0
210000009402,1
210000009403,1
210000009404,0
210000009405,1
210000009406,0
210000009407,0
210000009408,1
210000009409,1
210000009410,1
210000009411,0
210000009412,0
210000009413,0
210000009420,0
210000009421,2
210000009423,8
210000009425,0
210000009431,11
210000009432,26
210000009437,8
210000009438,12
210000009489,3
210000009506,0
210000009533,0
210000009534,2
210000009535,0
210000009581,2
210000009583,5
210000009599,8
210000009611,3
210000009612,0
210000009634,1
210000009635,0
210000009636,0
210000009741,6
210000009742,0
210000009743,7
210000009744,4
210000009745,0
210000009746,3
210000009747,0
210000009748,0
210000009749,2
210000009750,1
210000009751,7
210000009752,15
210000009753,21
210000009754,11
210000009755,5
210000009756,4
210000009757,8
210000009758,5
210000009759,2
210000009760,1
210000009761,5
210000009762,16
210000009763,18
210000009764,8
210000009765,6
210000009766,5
210000009767,7
210000009768,4
210000009769,4
210000009770,3
210000009771,4
210000009772,3
210000009773,3
210000009774,6
210000009775,4
210000009776,2
210000009777,3
210000009778,1
210000009779,2
210000009780,0
210000009781,0
210000009782,0
210000009783,0
210000009784,0
210000009785,1
210000009791,1
210000009792,0
210000009793,1
210000009794,0
210000009795,0
210000009796,0
210000009797,1
210000009798,0
210000009799,0
210000009800,0
210000009801,0
210000009802,0
210000009803,0
210000009804,0
210000009805,0
210000009806,0
210000009807,0
210000009808,0
210000009809,1
210000009810,1
210000009811,0
210000009812,0
210000009813,4
210000009814,4
210000009815,0
210000009824,3
210000009828,5
210000009941,5
210000009942,17
210000009943,14
210000009945,6
210000009959,9
210000009966,8
210000009968,15
210000009969,11
210000009970,8
210000009971,11
210000009972,25
210000009973,35
210000009974,18
210000009975,8
210000009976,6
210000009977,19
210000009979,10
210000009980,8
210000009986,14
210000009987,8
210000009990,13
210000010021,3
210000010022,10
210000010023,9
210000010024,4
210000010025,4
210000010026,1
210000010027,0
210000010028,0
210000010029,0
210000010030,0
210000010031,5
210000010032,7
210000010033,5
210000010034,2
210000010035,0
210000010036,0
210000010037,0
210000010038,0
210000010039,0
210000010040,0
210000010041,1
210000010042,1
210000010043,0
210000010044,0
210000010045,1
210000010046,0
210000010047,3
210000010048,0
210000010049,0
210000010050,3
210000010051,2
210000010052,3
210000010053,1
210000010054,1
210000010055,0
210000010056,0
210000010057,0
210000010058,0
210000010059,0
210000010060,0
210000010061,0
210000010062,0
210000010063,0
210000010064,3
210000010065,1
210000010066,57
210000010067,89
210000010068,59
210000010069,81
210000010070,1
210000010071,4
210000010072,3
210000010073,0
210000010074,11
210000010075,10
210000010076,23
210000010077,16
210000010078,25
210000010079,12
210000010080,8
