description,upc,manufacturerSku,Price_amount,MSRP_amount,rideengine_variants_price,price_difference,update_price
Ride Engine Team Vest XL,840362175950,3232562007,190,190,59.00,-131,TRUE
Ride Engine Space Mob Vest S,840362175967,3232563001,200,200,59.00,-141,TRUE
Ride Engine Space Mob Vest M,840362175974,3232563003,69,200,59.00,-10,TRUE
Ride Engine Space Mob Vest L,840362175981,3232563005,200,200,59.00,-141,TRUE
Ride Engine Space Mob Vest XL,840362175998,3232563007,200,200,69.00,-131,TRUE
Ride Engine Barrier Soft Helmet Black S,840362158168,3226001701,59,59,44.25,-14.75,TRUE
Ride Engine Barrier Soft Helmet Black M,840362158175,3226001703,59,59,44.25,-14.75,TRUE
Ride Engine Barrier Soft Helmet Black L,840362158182,3226001705,59,59,44.25,-14.75,TRUE
Ride Engine Compass Riding Windbreaker S,840362174045,3234731000,250,250,200.00,-50,TRUE
Ride Engine Compass Riding Windbreaker M,840362174052,3234731001,250,250,200.00,-50,TRUE
Ride Engine Compass Riding Windbreaker L,840362174069,3234731002,250,250,200.00,-50,TRUE
Ride Engine Compass Riding Windbreaker XL,840362174076,3234731003,250,250,200.00,-50,TRUE
Ride Engine Origin Windbreaker S,840362174090,3234732000,115,115,92.00,-23,TRUE
Ride Engine Origin Windbreaker M,840362174106,3234732001,115,115,92.00,-23,TRUE
Ride Engine Origin Windbreaker L,840362174113,3234732002,115,115,92.00,-23,TRUE
Ride Engine Origin Windbreaker XL,840362174120,3234732003,115,115,92.00,-23,TRUE
"Ride Engine Recoil Leash V2 Grey Fog 12'0""",840362172874,3232575015,55,55,44.00,-11,TRUE
"Ride Engine Recoil Calf Leash V1 Green 10'0""",840362172904,3232575018,53,53,42.40,-10.6,TRUE
Ride Engine Globe Trotter Board Bag,840362173468,3232540005,320,320,256.00,-64,TRUE
"Ride Engine World Tour Surf Coffin V3 6'5""",840362173703,3235440000,265,265,212.00,-53,TRUE
"Ride Engine World Tour Surf Coffin V3 7'5""",840362173710,3235440001,275,275,220.00,-55,TRUE
"Ride Engine Wing Board Travel Coffin 4'8""",840362173383,3232510000,275,275,220.00,-55,TRUE
"Ride Engine Wing Board Travel Coffin 6'6""",840362173406,3232510002,300,300,240.00,-60,TRUE
"Ride Engine Day Strike Classic Board Bag V3 5'4""",840362173826,3235470000,130,130,91.00,-39,TRUE
"Ride Engine Day Strike Classic Board Bag V3 6'0""",840362173840,3235470002,140,140,98.00,-42,TRUE
"Ride Engine Day Strike Classic Board Bag V3 6'4""",840362173857,3235470003,145,145,101.50,-43.5,TRUE
